日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-20,'000021,深科技,10.65,10.65,10.65,10.65,9.68,0.97,10.0207,0.7863,11569089,123210797.85,15668912216.0,15668912216.0
2019-08-19,'000021,深科技,9.68,9.68,9.68,9.68,8.8,0.88,10.0,0.9851,14493740,140299403.2,14241790633.8,14241790633.8
2019-08-16,'000021,深科技,8.8,8.95,8.16,8.26,8.14,0.66,8.1081,6.7699,99602296,869545771.47,12947082394.4,12947082394.4
2019-08-15,'000021,深科技,8.14,8.21,7.72,7.74,7.91,0.23,2.9077,1.9187,28229097,226735839.35,11976051214.8,11976051214.8
2019-08-14,'000021,深科技,7.91,8.02,7.81,7.86,7.71,0.2,2.594,1.5686,23078612,183143663.01,11637661561.3,11637661561.3
2019-08-13,'000021,深科技,7.71,7.73,7.56,7.58,7.66,0.05,0.6527,0.5847,8602800,65918405.98,11343409688.7,11343409688.7
2019-08-12,'000021,深科技,7.66,7.67,7.4,7.41,7.39,0.27,3.6536,0.6257,9206138,69442362.44,11269846720.6,11269846720.6
2019-08-09,'000021,深科技,7.39,7.63,7.37,7.6,7.55,-0.16,-2.1192,0.6037,8881477,66509724.37,10872606692.6,10872606692.6
2019-08-08,'000021,深科技,7.55,7.61,7.5,7.58,7.55,0.0,0.0,0.5779,8501988,64191707.71,11108008190.6,11108008190.6
2019-08-07,'000021,深科技,7.55,7.75,7.54,7.71,7.67,-0.12,-1.5645,0.628,9238801,70606488.12,11108008190.6,11108008190.6
2019-08-06,'000021,深科技,7.67,7.8,7.38,7.8,7.93,-0.26,-3.2787,1.0782,15863578,121265393.81,11284559314.2,11284559314.2
2019-08-05,'000021,深科技,7.93,8.12,7.84,7.86,7.9,0.03,0.3797,0.834,12270017,98113203.33,11667086748.6,11667086748.6
2019-08-02,'000021,深科技,7.9,7.95,7.81,7.9,8.08,-0.18,-2.2277,0.8465,12454915,98123945.94,11622948967.7,11622948967.7
2019-08-01,'000021,深科技,8.08,8.23,8.03,8.1,8.16,-0.08,-0.9804,0.7962,11713714,94947853.95,11887775653.0,11887775653.0
2019-07-31,'000021,深科技,8.16,8.2,8.04,8.09,8.08,0.08,0.9901,1.2199,17947871,146247877.47,12005476402.1,12005476402.1
2019-07-30,'000021,深科技,8.08,8.1,7.94,8.02,8.02,0.06,0.7481,0.8772,12905915,103875653.83,11887775653.0,11887775653.0
2019-07-29,'000021,深科技,8.02,8.07,7.91,8.0,7.97,0.05,0.6274,0.591,8695535,69470914.02,11799500091.3,11799500091.3
2019-07-26,'000021,深科技,7.97,8.08,7.92,8.01,8.07,-0.1,-1.2392,0.5892,8668500,69145549.08,11725937123.1,11725937123.1
2019-07-25,'000021,深科技,8.07,8.13,7.88,7.94,7.94,0.13,1.6373,1.0476,15412472,123927911.02,11873063059.4,11873063059.4
2019-07-24,'000021,深科技,7.94,8.03,7.85,7.9,7.81,0.13,1.6645,0.7632,11229070,89372577.49,11681799342.2,11681799342.2
2019-07-23,'000021,深科技,7.81,7.83,7.7,7.74,7.74,0.07,0.9044,0.3834,5641200,43941449.0,11490535625.0,11490535625.0
2019-07-22,'000021,深科技,7.74,8.02,7.66,7.95,7.97,-0.23,-2.8858,0.705,10372856,80713532.6,11387547469.6,11387547469.6
2019-07-19,'000021,深科技,7.97,8.13,7.94,7.99,7.91,0.06,0.7585,0.7491,11021270,88437149.79,11725937123.1,11725937123.1
2019-07-18,'000021,深科技,7.91,8.06,7.89,8.05,8.13,-0.22,-2.706,0.8891,13081240,104218998.83,11637661561.3,11637661561.3
2019-07-17,'000021,深科技,8.13,8.22,7.84,7.84,7.94,0.19,2.3929,1.569,23084625,187174715.36,11961338621.2,11961338621.2
2019-07-16,'000021,深科技,7.94,7.95,7.81,7.88,7.87,0.07,0.8895,0.5713,8405073,66317083.6,11681799342.2,11681799342.2
2019-07-15,'000021,深科技,7.87,7.98,7.58,7.72,7.74,0.13,1.6796,0.6947,10220327,79960920.01,11578811186.8,11578811186.8
2019-07-12,'000021,深科技,7.74,7.77,7.64,7.68,7.67,0.07,0.9126,0.4316,6349579,49011227.15,11387547469.6,11387547469.6
2019-07-11,'000021,深科技,7.67,7.81,7.65,7.81,7.73,-0.06,-0.7762,0.4781,7034669,54408595.58,11284559314.2,11284559314.2
2019-07-10,'000021,深科技,7.73,7.83,7.69,7.74,7.72,0.01,0.1295,0.5474,8053135,62562504.55,11372834876.0,11372834876.0
2019-07-09,'000021,深科技,7.72,7.88,7.62,7.84,7.84,-0.12,-1.5306,0.8982,13214176,101938016.44,11358122282.4,11358122282.4
2019-07-08,'000021,深科技,7.84,8.19,7.81,8.17,8.2,-0.36,-4.3902,1.1396,16766297,132971169.37,11534673405.9,11534673405.9
2019-07-05,'000021,深科技,8.2,8.23,8.13,8.17,8.19,0.01,0.1221,0.5216,7674621,62779294.17,12064326776.6,12064326776.6
2019-07-04,'000021,深科技,8.19,8.26,8.12,8.2,8.2,-0.01,-0.122,0.6677,9823737,80316964.27,12049614183.0,12049614183.0
2019-07-03,'000021,深科技,8.2,8.32,8.15,8.32,8.33,-0.13,-1.5606,1.0034,14763096,121099525.34,12064326776.6,12064326776.6
2019-07-02,'000021,深科技,8.33,8.52,8.3,8.49,8.48,-0.15,-1.7689,1.2342,18157586,152304460.51,12255590493.8,12255590493.8
2019-07-01,'000021,深科技,8.48,8.53,8.28,8.35,8.13,0.35,4.305,1.9906,29287498,246908653.24,12476279398.2,12476279398.2
2019-06-28,'000021,深科技,8.13,8.24,8.09,8.17,8.28,-0.15,-1.8116,1.0038,14768893,120251161.13,11961338621.2,11961338621.2
2019-06-27,'000021,深科技,8.28,8.39,8.23,8.31,8.22,0.06,0.7299,1.2211,17964905,149486812.09,12182027525.6,12182027525.6
2019-06-26,'000021,深科技,8.32,8.43,8.17,8.23,8.3,0.02,0.241,0.8615,12675405,105580408.65,12240877900.2,12240877900.2
2019-06-25,'000021,深科技,8.3,8.48,8.13,8.43,8.45,-0.15,-1.7751,1.3111,19290351,160096588.47,12211452712.9,12211452712.9
2019-06-24,'000021,深科技,8.45,8.65,8.41,8.52,8.46,-0.01,-0.1182,1.1008,16195703,137609403.8,12432141617.4,12432141617.4
2019-06-21,'000021,深科技,8.46,8.51,8.37,8.49,8.36,0.1,1.1962,1.532,22539755,190412988.11,12446854211.0,12446854211.0
2019-06-20,'000021,深科技,8.36,8.42,8.15,8.21,8.21,0.15,1.827,1.3542,19923206,165466216.61,12299728274.7,12299728274.7
2019-06-19,'000021,深科技,8.21,8.4,8.2,8.3,8.11,0.1,1.233,1.2789,18816065,156276269.31,12079039370.2,12079039370.2
2019-06-18,'000021,深科技,8.11,8.23,8.07,8.21,8.21,-0.1,-1.218,0.7007,10309503,83803686.22,11931913433.9,11931913433.9
2019-06-17,'000021,深科技,8.21,8.26,8.11,8.15,8.18,0.03,0.3667,0.6269,9222657,75513925.19,12079039370.2,12079039370.2
2019-06-14,'000021,深科技,8.18,8.55,8.15,8.52,8.49,-0.31,-3.6514,1.418,20861977,173573290.72,12034901589.3,12034901589.3
2019-06-13,'000021,深科技,8.49,8.69,8.42,8.6,8.61,-0.12,-1.3937,1.4513,21353000,182311431.0,12490991991.9,12490991991.9
2019-06-12,'000021,深科技,8.61,8.73,8.35,8.39,8.45,0.16,1.8935,2.1729,31969347,271823035.63,12667543115.4,12667543115.4
2019-06-11,'000021,深科技,8.45,8.47,8.01,8.16,8.15,0.3,3.681,1.9132,28147688,232941973.81,12432141617.4,12432141617.4
2019-06-10,'000021,深科技,8.15,8.29,8.11,8.11,8.11,0.04,0.4932,1.1834,17411547,142470736.87,11990763808.5,11990763808.5
2019-06-06,'000021,深科技,8.11,8.66,8.05,8.62,8.7,-0.59,-6.7816,2.6672,39241762,325265299.96,11931913433.9,11931913433.9
2019-06-05,'000021,深科技,8.7,8.91,8.67,8.8,8.66,0.04,0.4619,1.8193,26765898,235502829.84,12799956458.1,12799956458.1
2019-06-04,'000021,深科技,8.66,8.94,8.59,8.82,8.91,-0.25,-2.8058,2.0023,29458575,257804889.78,12741106083.6,12741106083.6
2019-06-03,'000021,深科技,8.91,9.16,8.76,9.15,9.05,-0.14,-1.547,3.4017,50048468,448391196.05,13108920924.3,13108920924.3
2019-05-31,'000021,深科技,9.05,9.15,8.63,8.66,8.67,0.38,4.3829,4.0041,58910651,526120154.81,13314897235.1,13314897235.1
2019-05-30,'000021,深科技,8.67,8.83,8.5,8.83,8.94,-0.27,-3.0201,2.3282,34253494,296132394.85,12755818677.2,12755818677.2
2019-05-29,'000021,深科技,8.94,9.14,8.66,8.66,8.76,0.18,2.0548,3.6586,53827277,482426868.51,13153058705.2,13153058705.2
2019-05-28,'000021,深科技,8.76,8.85,8.63,8.74,8.8,-0.04,-0.4545,2.5003,36785473,321672412.59,12888232019.9,12888232019.9
2019-05-27,'000021,深科技,8.8,8.9,8.16,8.25,8.19,0.61,7.4481,3.0963,45555005,392758381.63,12947082394.4,12947082394.4
2019-05-24,'000021,深科技,8.19,8.7,8.17,8.53,8.71,-0.52,-5.9701,2.5099,36926671,309969567.32,12049614183.0,12049614183.0
2019-05-23,'000021,深科技,8.71,9.01,8.68,8.98,9.02,-0.31,-3.4368,2.7916,41071647,361935839.91,12814669051.7,12814669051.7
2019-05-22,'000021,深科技,9.02,9.08,8.63,8.69,8.83,0.19,2.1518,4.3188,63541091,564358831.22,13270759454.3,13270759454.3
2019-05-21,'000021,深科技,8.83,9.15,8.41,8.78,8.76,0.07,0.7991,5.7233,84204286,735540248.15,12991220175.3,12991220175.3
2019-05-20,'000021,深科技,8.76,8.76,8.06,8.19,7.96,0.8,10.0503,5.298,77947078,664144760.26,12888232019.9,12888232019.9
2019-05-17,'000021,深科技,7.96,8.24,7.91,8.07,8.04,-0.08,-0.995,1.7339,25510244,205897966.23,11711224529.5,11711224529.5
2019-05-16,'000021,深科技,8.04,8.11,7.98,8.11,8.12,-0.08,-0.9852,1.1051,16258268,130685148.18,11828925278.5,11828925278.5
2019-05-15,'000021,深科技,8.12,8.17,8.03,8.1,7.99,0.13,1.627,1.2645,18603608,150507450.94,11946626027.6,11946626027.6
2019-05-14,'000021,深科技,7.99,8.26,7.98,8.06,8.14,-0.15,-1.8428,1.6898,24861231,201133041.72,11755362310.4,11755362310.4
2019-05-13,'000021,深科技,8.14,8.34,8.03,8.17,8.12,0.02,0.2463,2.0347,29935552,244566630.56,11976051214.8,11976051214.8
2019-05-10,'000021,深科技,8.12,8.13,7.38,7.82,7.68,0.44,5.7292,2.3766,34965224,275195363.29,11946626027.6,11946626027.6
2019-05-09,'000021,深科技,7.68,7.93,7.59,7.65,7.67,0.01,0.1304,1.1566,17016469,131885696.26,11299271907.8,11299271907.8
2019-05-08,'000021,深科技,7.67,7.92,7.23,7.36,7.54,0.13,1.7241,1.6797,24712075,189669009.98,11284559314.2,11284559314.2
2019-05-07,'000021,深科技,7.54,7.67,7.35,7.62,7.45,0.09,1.2081,1.2536,18444394,138785758.34,11093295597.0,11093295597.0
2019-05-06,'000021,深科技,7.45,8.09,7.45,8.04,8.28,-0.83,-10.0242,2.0537,30215646,234017900.35,10960882254.4,10960882254.4
2019-04-30,'000021,深科技,8.28,8.35,8.07,8.07,8.01,0.27,3.3708,1.2973,19086586,157394560.45,12182027525.6,12182027525.6
2019-04-29,'000021,深科技,8.01,8.62,7.84,8.56,8.53,-0.52,-6.0961,1.9629,28879337,236080005.09,11784787497.6,11784787497.6
2019-04-26,'000021,深科技,8.53,8.69,8.42,8.42,8.49,0.04,0.4711,1.3416,19737935,169555807.43,12549842366.4,12549842366.4
2019-04-25,'000021,深科技,8.49,8.97,8.46,8.83,8.79,-0.3,-3.413,1.7736,26093659,227707435.23,12490991991.9,12490991991.9
2019-04-24,'000021,深科技,8.79,8.84,8.53,8.67,8.57,0.22,2.5671,1.4453,21264591,185491239.45,12932369800.8,12932369800.8
2019-04-23,'000021,深科技,8.57,8.91,8.47,8.9,8.88,-0.31,-3.491,1.8054,26562093,229213679.29,12608692740.9,12608692740.9
2019-04-22,'000021,深科技,8.88,9.11,8.87,9.0,8.96,-0.08,-0.8929,1.3346,19635982,176402699.55,13064783143.4,13064783143.4
2019-04-19,'000021,深科技,8.96,8.97,8.81,8.91,8.98,-0.02,-0.2227,1.5362,22601513,201121681.05,13182483892.5,13182483892.5
2019-04-18,'000021,深科技,8.98,9.19,8.98,9.18,9.16,-0.18,-1.9651,1.6515,24297335,220469355.03,13211909079.7,13211909079.7
2019-04-17,'000021,深科技,9.16,9.33,9.1,9.15,9.15,0.01,0.1093,2.3889,35146475,323379194.16,13476735765.1,13476735765.1
2019-04-16,'000021,深科技,9.15,9.16,8.7,8.87,8.99,0.16,1.7798,2.2261,32751008,293122183.41,13462023171.5,13462023171.5
2019-04-15,'000021,深科技,8.99,9.32,8.98,9.19,9.02,-0.03,-0.3326,1.8396,27065251,247729527.25,13226621673.4,13226621673.4
2019-04-12,'000021,深科技,9.02,9.37,8.94,9.26,9.3,-0.28,-3.0108,2.1393,31474449,286291160.08,13270759454.3,13270759454.3
2019-04-11,'000021,深科技,9.3,9.54,9.27,9.54,9.54,-0.24,-2.5157,1.9473,28649280,268365858.3,13682712075.9,13682712075.9
2019-04-10,'000021,深科技,9.54,9.6,9.21,9.38,9.48,0.06,0.6329,2.7119,39899690,374913550.68,14035814323.0,14035814323.0
2019-04-09,'000021,深科技,9.48,9.56,9.17,9.3,9.35,0.13,1.3904,2.1112,31061136,293182587.32,13947538761.2,13947538761.2
2019-04-08,'000021,深科技,9.35,9.64,9.13,9.58,9.57,-0.22,-2.2989,3.2751,48185677,450472915.39,13756275044.0,13756275044.0
2019-04-04,'000021,深科技,9.57,9.83,9.51,9.82,9.82,-0.25,-2.5458,4.4798,65909966,633971559.0,14079952103.9,14079952103.9
2019-04-03,'000021,深科技,9.82,10.48,9.66,10.19,9.75,0.07,0.7179,5.861,86230620,857412670.11,14447766944.7,14447766944.7
2019-04-02,'000021,深科技,9.75,9.97,9.61,9.76,9.8,-0.05,-0.5102,5.3141,78184731,761599829.08,14344778789.2,14344778789.2
2019-04-01,'000021,深科技,9.8,9.94,9.46,9.46,9.38,0.42,4.4776,6.0802,89455632,868369185.76,14418341757.4,14418341757.4
2019-03-29,'000021,深科技,9.38,9.5,8.78,8.96,9.06,0.32,3.532,5.6092,82526393,758341650.37,13800412824.9,13800412824.9
2019-03-28,'000021,深科技,9.06,9.65,9.02,9.3,9.45,-0.39,-4.127,6.5386,96199632,900678003.24,13329609828.8,13329609828.8
2019-03-27,'000021,深科技,9.45,10.12,9.24,10.05,9.99,-0.54,-5.4054,8.2832,121867536,1161473394.56,13903400980.4,13903400980.4
2019-03-26,'000021,深科技,9.99,10.79,9.78,10.19,10.87,-0.88,-8.0957,10.9158,160599512,1634797281.27,14697881036.4,14697881036.4
2019-03-25,'000021,深科技,10.87,11.08,10.08,10.5,10.07,0.8,7.9444,11.1537,164100538,1788134943.62,15992589275.8,15992589275.8
2019-03-22,'000021,深科技,10.07,10.07,9.22,9.68,9.15,0.92,10.0546,10.1463,149278088,1464877102.55,14815581785.4,14815581785.4
2019-03-21,'000021,深科技,9.15,9.15,8.15,8.15,8.32,0.83,9.976,2.483,36530817,324917505.22,13462023171.5,13462023171.5
2019-03-20,'000021,深科技,8.32,8.9,8.1,8.64,8.44,-0.12,-1.4218,2.0342,29928267,250808339.98,12240877900.2,12240877900.2
2019-03-19,'000021,深科技,8.44,8.66,8.12,8.16,8.19,0.25,3.0525,2.4132,35504244,299708001.92,12417429023.7,12417429023.7
2019-03-18,'000021,深科技,8.19,8.19,7.74,7.83,7.9,0.29,3.6709,1.4748,21698284,174614850.27,12049614183.0,12049614183.0
2019-03-15,'000021,深科技,7.9,8.01,7.78,7.86,7.81,0.09,1.1524,1.2659,18624212,147178507.0,11622948967.7,11622948967.7
2019-03-14,'000021,深科技,7.81,8.2,7.7,8.15,8.2,-0.39,-4.7561,1.9243,28310861,223185832.59,11490535625.0,11490535625.0
2019-03-13,'000021,深科技,8.2,8.74,8.05,8.74,8.76,-0.56,-6.3927,2.8761,42315619,354730125.69,12064326776.6,12064326776.6
2019-03-12,'000021,深科技,8.76,8.87,8.4,8.6,8.48,0.28,3.3019,3.1675,46602646,403233422.05,12888232019.9,12888232019.9
2019-03-11,'000021,深科技,8.48,8.6,8.15,8.45,8.11,0.37,4.5623,2.7606,40615614,340882362.97,12476279398.2,12476279398.2
2019-03-08,'000021,深科技,8.11,8.9,7.72,7.95,8.1,0.01,0.1235,4.0359,59378086,498503570.44,11931913433.9,11931913433.9
2019-03-07,'000021,深科技,8.1,8.23,7.82,7.93,7.96,0.14,1.7588,1.7694,26032597,210286219.44,11917200840.3,11917200840.3
2019-03-06,'000021,深科技,7.96,8.04,7.72,7.92,7.91,0.05,0.6321,1.695,24937379,195850362.0,11711224529.5,11711224529.5
2019-03-05,'000021,深科技,7.91,7.94,7.48,7.53,7.52,0.39,5.1862,1.8249,26849050,207613464.37,11637661561.3,11637661561.3
2019-03-04,'000021,深科技,7.52,7.72,7.48,7.49,7.45,0.07,0.9396,1.4726,21665984,164730915.14,11063870409.8,11063870409.8
2019-03-01,'000021,深科技,7.45,7.48,7.32,7.41,7.36,0.09,1.2228,0.8474,12466718,92331069.78,10960882254.4,10960882254.4
2019-02-28,'000021,深科技,7.36,7.51,7.3,7.4,7.43,-0.07,-0.9421,0.8581,12625249,93233339.0,10828468911.7,10828468911.7
2019-02-27,'000021,深科技,7.43,7.6,7.32,7.47,7.48,-0.05,-0.6684,1.0944,16100803,120165313.34,10931457067.1,10931457067.1
2019-02-26,'000021,深科技,7.48,7.71,7.42,7.7,7.72,-0.24,-3.1088,1.757,25850024,195512498.58,11005020035.2,11005020035.2
2019-02-25,'000021,深科技,7.72,7.75,7.4,7.49,7.34,0.38,5.1771,2.2728,33439046,254650041.21,11358122282.4,11358122282.4
2019-02-22,'000021,深科技,7.34,7.38,7.01,7.01,7.05,0.29,4.1135,1.6739,24627778,178071810.26,10799043724.4,10799043724.4
2019-02-21,'000021,深科技,7.05,7.28,7.02,7.11,7.15,-0.1,-1.3986,1.4594,21471660,153666835.43,10372378509.1,10372378509.1
2019-02-20,'000021,深科技,7.15,7.25,7.05,7.19,7.22,-0.07,-0.9695,1.1186,16456866,117455806.67,10519504445.5,10519504445.5
2019-02-19,'000021,深科技,7.22,7.53,7.15,7.53,7.36,-0.14,-1.9022,2.1117,31068110,226600764.35,10622492600.9,10622492600.9
2019-02-18,'000021,深科技,7.36,7.45,6.96,7.02,6.77,0.59,8.7149,2.6305,38701272,280927703.15,10828468911.7,10828468911.7
2019-02-15,'000021,深科技,6.77,7.04,6.77,6.84,6.77,0.0,0.0,1.3212,19438031,134609761.58,9960425887.51,9960425887.51
2019-02-14,'000021,深科技,6.77,6.87,6.66,6.8,6.8,-0.03,-0.4412,1.2358,18182500,123108903.12,9960425887.51,9960425887.51
2019-02-13,'000021,深科技,6.8,6.99,6.39,6.39,6.39,0.41,6.4163,2.4085,35435985,238970596.59,10004563668.4,10004563668.4
2019-02-12,'000021,深科技,6.39,6.45,6.22,6.26,6.26,0.13,2.0767,1.1257,16562021,105514087.96,9401347329.57,9401347329.57
2019-02-11,'000021,深科技,6.26,6.29,6.04,6.04,6.03,0.23,3.8143,0.8541,12566608,77899048.31,9210083612.38,9210083612.38
2019-02-01,'000021,深科技,6.03,6.04,5.81,5.84,5.83,0.2,3.4305,0.4886,7188894,42799626.5,8871693958.89,8871693958.89
2019-01-31,'000021,深科技,5.83,5.97,5.73,5.95,5.91,-0.08,-1.3536,0.4974,7318531,42777814.55,8577442086.29,8577442086.29
2019-01-30,'000021,深科技,5.91,6.08,5.91,5.96,5.96,-0.05,-0.8389,0.4228,6220015,37192215.79,8695142835.33,8695142835.33
2019-01-29,'000021,深科技,5.96,6.11,5.83,6.1,6.08,-0.12,-1.9737,0.5377,7910702,47024532.63,8768705803.48,8768705803.48
2019-01-28,'000021,深科技,6.08,6.23,6.06,6.14,6.11,-0.03,-0.491,0.4748,6986015,42865241.18,8945256927.04,8945256927.04
2019-01-25,'000021,深科技,6.11,6.24,6.11,6.21,6.19,-0.08,-1.2924,0.4546,6688250,41330899.78,8989394707.93,8989394707.93
2019-01-24,'000021,深科技,6.19,6.27,6.04,6.08,6.06,0.13,2.1452,0.6827,10044396,62132705.73,9107095456.97,9107095456.97
2019-01-23,'000021,深科技,6.06,6.1,6.02,6.07,6.08,-0.02,-0.3289,0.2582,3798361,22998810.71,8915831739.78,8915831739.78
2019-01-22,'000021,深科技,6.08,6.22,6.03,6.18,6.17,-0.09,-1.4587,0.3977,5850713,35686997.5,8945256927.04,8945256927.04
2019-01-21,'000021,深科技,6.17,6.23,6.09,6.14,6.14,0.03,0.4886,0.5189,7635029,47111181.51,9077670269.71,9077670269.71
2019-01-18,'000021,深科技,6.14,6.23,6.04,6.23,6.22,-0.08,-1.2862,0.7376,10851673,66222989.87,9033532488.82,9033532488.82
2019-01-17,'000021,深科技,6.22,6.24,6.12,6.21,6.18,0.04,0.6472,0.4709,6927691,42886332.06,9151233237.86,9151233237.86
2019-01-16,'000021,深科技,6.18,6.31,6.17,6.24,6.28,-0.1,-1.5924,0.6224,9157596,57005675.93,9092382863.34,9092382863.34
2019-01-15,'000021,深科技,6.28,6.29,6.12,6.18,6.13,0.15,2.447,0.7904,11629223,72430358.39,9239508799.64,9239508799.64
2019-01-14,'000021,深科技,6.13,6.22,6.08,6.19,6.2,-0.07,-1.129,0.45,6620389,40680942.3,9018819895.19,9018819895.19
2019-01-11,'000021,深科技,6.2,6.27,6.11,6.11,6.11,0.09,1.473,0.5103,7508547,46512091.66,9121808050.6,9121808050.6
2019-01-10,'000021,深科技,6.11,6.27,6.08,6.08,6.07,0.04,0.659,0.5852,8609496,53083489.43,8989394707.93,8989394707.93
2019-01-09,'000021,深科技,6.07,6.18,6.03,6.1,6.03,0.04,0.6633,0.7895,11616141,71134461.91,8930544333.41,8930544333.41
2019-01-08,'000021,深科技,6.03,6.13,5.98,6.03,6.03,0.0,0.0,0.6387,9397172,56863457.78,8871693958.89,8871693958.89
2019-01-07,'000021,深科技,6.03,6.03,5.77,5.78,5.78,0.25,4.3253,0.6982,10272196,61032394.87,8871693958.89,8871693958.89
2019-01-04,'000021,深科技,5.78,5.79,5.51,5.54,5.64,0.14,2.4823,0.4881,7181225,40830192.15,8503879118.14,8503879118.14
2019-01-03,'000021,深科技,5.64,5.75,5.63,5.72,5.68,-0.04,-0.7042,0.3036,4466572,25362817.52,8297902807.32,8297902807.32
2019-01-02,'000021,深科技,5.68,5.79,5.67,5.79,5.75,-0.07,-1.2174,0.298,4384275,25032188.25,8356753181.84,8356753181.84
2018-12-28,'000021,深科技,5.75,5.86,5.69,5.82,5.87,-0.12,-2.0443,0.5438,8000068,45883660.6,8459741337.25,8459741337.25
2018-12-27,'000021,深科技,5.87,6.01,5.8,5.89,5.78,0.09,1.5571,0.5819,8561701,50628270.59,8636292460.81,8636292460.81
2018-12-26,'000021,深科技,5.78,5.91,5.77,5.9,5.89,-0.11,-1.8676,0.2474,3640433,21255902.74,8503879118.14,8503879118.14
2018-12-25,'000021,深科技,5.89,5.96,5.69,5.9,5.98,-0.09,-1.505,0.4411,6489835,37814722.51,8665717648.07,8665717648.07
2018-12-24,'000021,深科技,5.98,6.01,5.88,5.92,5.97,0.01,0.1675,0.4054,5964011,35474380.41,8798130990.74,8798130990.74
2018-12-21,'000021,深科技,5.97,5.98,5.78,5.81,5.78,0.19,3.2872,0.6761,9947103,58865281.06,8783418397.11,8783418397.11
2018-12-20,'000021,深科技,5.78,5.97,5.69,5.94,5.92,-0.14,-2.3649,0.4603,6771768,39512408.81,8503879118.14,8503879118.14
2018-12-19,'000021,深科技,5.92,6.05,5.88,6.02,6.02,-0.1,-1.6611,0.4183,6153543,36596804.97,8709855428.96,8709855428.96
2018-12-18,'000021,深科技,6.02,6.05,5.95,6.0,6.06,-0.04,-0.6601,0.4042,5947272,35726034.43,8856981365.26,8856981365.26
2018-12-17,'000021,深科技,6.06,6.06,5.9,5.96,5.95,0.11,1.8487,0.4373,6433365,38537114.88,8915831739.78,8915831739.78
2018-12-14,'000021,深科技,5.95,6.18,5.93,6.18,6.19,-0.24,-3.8772,0.7233,10641507,64243676.27,8753993209.85,8753993209.85
2018-12-13,'000021,深科技,6.19,6.25,6.05,6.09,6.08,0.11,1.8092,0.6714,9877372,60963742.03,9107095456.97,9107095456.97
2018-12-12,'000021,深科技,6.08,6.2,6.06,6.14,6.17,-0.09,-1.4587,0.4064,5979673,36597073.44,8945256927.04,8945256927.04
2018-12-11,'000021,深科技,6.17,6.18,6.08,6.08,6.1,0.07,1.1475,0.3752,5520745,33870020.99,9077670269.71,9077670269.71
